attributo,id,commento_raw,caption,nuova_caption
Sapore,3,Ottimo equilibrio tra le diverse note,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore presenta un ottimo equilibrio tra le diverse note gustative.
Sapore,7,Tendenza dolce prevalente,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore presenta una tendenza dolce prevalente rispetto alle altre componenti gustative.
Sapore,22,Piccante fortissimo e persistente,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore presenta una piccantezza fortissima e persistente nel finale.
Sapore,23,Un Po troppo piccante,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una piccantezza che risulta eccessiva.",Il sapore risulta leggermente eccessivo nella componente piccante.
Sapore,69,Buona armonia ma piccante percepibile,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.","Il sapore mostra una buona armonia complessiva, con una piccantezza percepibile."
Sapore,83,Poco salato. Forse anche un po'  di dolce,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.","Il sapore si presenta poco salato, con una possibile nota dolce di lieve entità."
Sapore,84,Solo leggermente piccante,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore risulta solo leggermente piccante.
Sapore,86,Leggermente  sapido ..,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore si presenta leggermente sapido.
Sapore,87,"Salato molto forte, acre arriva dopo un Po ma permane","Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.","Il sapore è molto salato, con una nota acre che emerge in ritardo ma permane persistente."
Sapore,88,Piccante percettibile,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore presenta una piccantezza percettibile.
Sapore,91,Deciso ed equilibrato,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore si presenta deciso ed equilibrato nelle sue componenti.
Sapore,93,Delicato ma equilibrato,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore risulta delicato ma ben equilibrato nelle sue componenti.
Sapore,100,Equilibrato con piccante leggerissimo,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.","Il sapore è equilibrato, con una piccantezza leggerissima."
Sapore,101,Leggermente  sapido,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore si presenta leggermente sapido.
Sapore,102,Amaro leggero,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore presenta una leggera nota amara.
Sapore,105,Saporito tendente all'acido,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.","Il sapore è saporito, con una tendenza verso l'acidità."
Sapore,106,Salato e sapore di crosta,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.","Il sapore è salato, con un evidente rimando al sapore di crosta."
Sapore,107,Sapore di nostrano,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore richiama quello tipico di un formaggio nostrano.
