sample_id,codice_caseificio,data_seduta,anno,n_immagini_fetta,n_immagini_grana,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,n_panelisti,flag_dati_incompleti,note_qualita,commenti_profumo,commenti_sapore,commenti_aroma,commenti_texture,commenti_struttura_pasta,commenti_colore_pasta,commenti_spessore_crosta,punteggio_profumo,punteggio_sapore,punteggio_aroma,punteggio_texture,punteggio_struttura_pasta,punteggio_colore_pasta,punteggio_spessore_crosta,punteggio_complessivo
TN323_2019-12-11,TN323,2019-12-11,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-12-11_Seduta_16/P5a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-12-11_Seduta_16/P5a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P5a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P5b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P5a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P5b_TN323_Grana.bmp""]",3,False,Nessun commento Profumo; Nessun commento Sapore; Nessun commento Aroma; Nessun commento Texture; Nessun commento Colore della Pasta,[],[],[],[],"[""Ruvida"", ""Ampia zona centrale spugnosa""]",[],"[""Colore rosato sottocrosta""]",,,,,,,,
TN311_2020-09-30,TN311,2020-09-30,2020,2,2,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-30_Seduta_05/P4a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-30_Seduta_05/P4a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-30_Seduta_05\\P4a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-30_Seduta_05\\P4b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-30_Seduta_05\\P4a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-30_Seduta_05\\P4b_TN311_Grana.bmp""]",6,False,Nessun commento Texture,"[""Sa di grasso di prosciutto crudo"", ""Peccato lieve nota bruciara"", ""Poco complesso"", ""Crem Caramel""]","[""Anonimo come sapore, poco espresso con..."", ""Poco stagionato, sembra fresco. Buono da passeggio, nessuna nota sgradevole""]","[""Aroma non gradevole"", ""Burro fresco, molto lattico""]",[],"[""In alcuni punti sembra meno fine, meno evoluta"", ""A zone grassa, a zone secca""]","[""Circa al carico""]","[""Belli gli angoli"", ""Fine sui piatti"", ""Colore carico solo su un piatto""]",,,,,,,,
TN311_2019-10-16,TN311,2019-10-16,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-16_Seduta_07/P4a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-16_Seduta_07/P4a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P4a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P4b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P4a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P4b_TN311_Grana.bmp""]",0,True,Nessun commento,[],[],[],[],[],[],[],,,,,,,,
TN323_2020-09-23,TN323,2020-09-23,2020,2,2,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-23_Seduta_04/P4a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-23_Seduta_04/P4a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-23_Seduta_04\\P4a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-23_Seduta_04\\P4b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-23_Seduta_04\\P4a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\I bimestre\\2020-09-23_Seduta_04\\P4b_TN323_Grana.bmp""]",3,False,Nessun commento Aroma; Nessun commento Struttura della Pasta; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,"[""Tanta nanna e latte. Ben intenso""]","[""Equilibrato"", ""Non dolce"", ""Solo leggero acido""]",[],"[""Peccato per il tenero""]",[],[],[],,,,,,,,
TN326_2018-09-19,TN326,2018-09-19,2018,0,0,,,[],[],8,True,Mancano immagini FETTA; Mancano immagini GRANA; Nessun commento Profumo; Nessun commento Sapore; Nessun commento Texture; Nessun commento Struttura della Pasta; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,[],[],"[""emergono molto le note di brodo di carne, lattico pi\\ scarico, note bruciate riscontrate al naso non percepite in bocca"", ""crosta di formaggio"", ""non tipico del grana, negativo"", ""medio""]",[],[],[],[],,,6.865,,,,,
TN330_2018-08-29,TN330,2018-08-29,2018,2,0,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-08-29/P6a_330_fetta.bmp,,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-08-29\\P6a_330_fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-08-29\\P6b_330_fetta.bmp""]",[],12,False,Mancano immagini GRANA,"[""animale, muffa, ossidato"", ""leggero all-inizio di sporco"", ""Buona intensità , non grande la complessita'. tostato"", ""burro fuso, burro, un po di fieno"", ""lattici cotti, animale leggero non penalizzante,"", ""non particolarmente armonico, note dominanti di brodo e di latte cotto, a tratti bruciato"", ""note positive da grana tipico, latte, ma con tostatura anche forte... sebbene molto piacevole"", ""moderata persistenza dei una senzaione acida e forse un inizio di fermentazione""]","[""dolce sapido, umami marcato, poca piccantezza"", ""pizzica in gola, leggermente amaro, sapido"", ""leggermente salato"", ""piccante"", ""troppo salata!!"", ""un po piccante e acido"", ""Presenti tutti i gusti, discreta armonia. io lo sento un pochetto amaro"", ""piccante"", ""leggermente piccante e salato, umami""]","[""scarico, poco complesso, tornano le note animali e di latte bruciato riscontrate al naso, nota propionica"", ""panna cotto"", ""muffa"", ""strano retrolfatto"", ""burro fuso"", ""aumenta l-animale""]","[""cedevole, poco granulosa, quasi sabbiosa"", ""granuloso e solubile"", ""morbido pastoso con cristalli lascia sensazione di sabbia in bocca"", ""percepibile presenza granuli di tirosina e grana della pasta"", ""asciutta e pastosa"", ""poca struttura, si scioglie bene in bocca, qualche granulo"", ""morbido. Friabile. Cristalli presenti"", ""pastoso, manca un po di granulosita,""]","[""Grossolana granulosa"", ""All'esterno tende a sgretolarsi microocchiature"", ""Buona struttura a roccia omogenea"", ""Tendente al ruvido, ma omogenea. Ottima frattura"", ""Leggermente stirata e gessosa"", ""Frattura irregolare"", ""nella norma"", ""Grana diffusa ma non uniforme, sotto uno scalzo fascia apparentem più umida e meno grandiosità Qualche piccolo strappo fessura"", ""Granulosa con micro occhiatura a tratti, grana grossolana"", ""Grossolana con aree e linee sebbene omogenea"", ""Omogenea chiara""]","[""Giallo piuttosto carico e aranciato"", ""Giallo anche meno carico abbastanza omogenea"", ""Sarebbe anche giallo paglierino ma presenta zona con alone imbrunito"", ""Giallo medio carico tendente al nocciola"", ""Omogeneo giallo medio.carico"", ""Omogenea paglierino più intenso"", ""nella norma"", ""Un piatto e più scuro"", ""[REVIEW: punteggio alto senza commento]""]","[""Spigoli da 15kmm Piatto da 8 9mm Media 9mm"", ""Più su 1 lato1 sull'altro 0,8"", ""nella norma"", ""Intorno ai 10 km"", ""8 km"", ""[REVIEW: punteggio alto senza commento]"", ""nella norma"", ""1cm"", ""8 9 km"", ""Bella, 10mm"", ""Molto basso omogeneo"", ""Più spessa sullo scalzo""]",7.239999999999999,7.04,7.265,7.170000000000001,7.575,7.808333333333334,7.774999999999999,
TN305_2018-10-03,TN305,2018-10-03,2018,2,2,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-03/P2a_305_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-03/P2a_305_grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-03\\P2a_305_fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-03\\P2b_305_fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-03\\P2a_305_grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-03\\P2b_305_grana.bmp""]",11,False,,"[""non molto intenso, nota fruttata oltre a quelle caratteristiche"", ""un paio di pezzi profumo verdura lessa"", ""nella norma"", ""burro fuso"", ""ananas leggero"", ""meido alta con un poco di tostatura per;"", ""nella norma"", ""nella norma"", ""pochi pregi, lieve"", ""note di rancido""]","[""dolce sapido, leggera acidit', umami presente abbastanza intenso, abbastanza equilibrato"", ""umami, leggermente pungente alla fine"", ""piccante e po salato"", ""salato, dolce, un po- piccante"", ""medio equilibrato con piccole note piccanti"", ""abbastanza neutro di sapore"", ""nella norma"", ""quasi carente di sale, ma piccante. squilibrio totale"", ""piccante e amaro""]","[""lattico dominante, a tratti note fruttate e proprioniche"", ""brodo animale e vegetale"", ""panna"", ""latte cotto leggero"", ""provolone"", ""nella norma"", ""nella norma"", ""crosta, cotto, rancido""]","[""umida, poco granulosa, poco solubile"", ""pochissimi granuli tirosina"", ""morbido poca grana"", ""un po- granulosa"", ""morbido e pastoso, umidità media e granuli medio/alti"", ""pastoso"", ""morbido, sembra giovane. Impasta. non pronto"", ""morbida, cristalli, umida""]","[""Non omogenea con aree strirate"", ""Stirata con frattura circolare e Microocchiatura fine"", ""A tratti poco evoluta e un po' stirata. Invecchiato. Frattura buona"", ""nella norma"", ""Presenza di cristalli ma occhiatura centrale"", ""Stirata, Microocchiatura al centro, disomogenea, gessata"", ""Microocchitura centrale"", ""Qualche frattura, micro occhiatura diffusa, un po' stirata, disomogeneo"", ""Frattura ok ma stiratura a tratti con presenza di micro occhiatura"", ""Agglomerato congelata poco presente e leggermente stirata""]","[""Molto carico al centro"", ""Scura con Alone centrale rosa"", ""Estremamente carico al centro. Molto più chiaro in un angolo. 3colori"", ""Alone centrale tendente al rosato"", ""Più chiaro verso gli scalzi"", ""Centro più carico"", ""Alone centrale nocciola, differenza fra le zone"", ""Presenza di evidenti aloni rosa"", ""Molto scuro e aree non omogenee""]","[""Piatti e scalzo circa 10mm Spigoli circa 20mm"", ""Egli angoli"", ""nella norma"", ""nella norma"", ""Unghia marcata sugli scalzi"", ""10 mm"", ""9 mm chiaro"", ""nella norma"", ""Mediamente 9 mm""]",7.081818181818182,6.656363636363636,6.9781818181818185,6.929090909090909,6.554545454545454,6.2,7.163636363636363,
TN313_2021-01-27,TN313,2021-01-27,2020,2,2,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-01-27_Seduta_19/P3_TN313_258_FETTA_A.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-01-27_Seduta_19/P3_TN313_258_GRANA_A.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-01-27_Seduta_19\\P3_TN313_258_FETTA_A.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-01-27_Seduta_19\\P3_TN313_258_FETTA_B.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-01-27_Seduta_19\\P3_TN313_258_GRANA_A.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-01-27_Seduta_19\\P3_TN313_258_GRANA_B.bmp""]",3,False,Nessun commento Aroma; Nessun commento Struttura della Pasta; Nessun commento Spessore della Crosta,"[""Lattico dominante, burro fresco"", ""Solo una piccola nota di bruciato""]","[""Mi pare una puntina di dolce ci sia""]",[],"[""Abbastanza solubile"", ""Forse pochi cristalli""]",[],"[""Chiara ma non paglierino""]",[],,,,,,,,
TN305_2019-09-18,TN305,2019-09-18,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN305_Grana.bmp""]",1,False,Nessun commento Profumo; Nessun commento Sapore; Nessun commento Aroma; Nessun commento Texture; Nessun commento Struttura della Pasta; Nessun commento Spessore della Crosta,[],[],[],[],[],"[""Macchie rosate difficili da vedere""]",[],,,,,,,,
TN328_2019-10-23,TN328,2019-10-23,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P6a_TN328_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P6a_TN328_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P6a_TN328_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P6b_TN328_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P6a_TN328_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P6b_TN328_Grana.bmp""]",0,True,Nessun commento,[],[],[],[],[],[],[],,,,,,,,
