attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Colore della Pasta
Colore_della_Pasta,,,,,,2019-09-04,2019.0,,,,,,False,False,False,False,False,,,,,1.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,,,,,,2019-09-11,2019.0,,,,,,False,False,False,False,False,,,,,2.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,TN305_2019-09-18,1.0,TN305,C0C,Q_02,2019-09-18,2019.0,FUORI_ATTRIBUTO,Ci sono macchie rosate difficili da vedere.,Macchie rosate difficili da vedere,Macchie rosate difficili da vedere,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN305_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,TN310_2019-09-18,2.0,TN310,C0F,TG_28,2019-09-18,2019.0,FUORI_ATTRIBUTO,C'è un alone quasi bianco di 1 cm.,Alone quasi bianco di 1cm,Alone quasi bianco di 1cm,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN310_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN310_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN310_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN310_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN310_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN310_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,TN311_2019-09-18,3.0,TN311,C0G,Q_09,2019-09-18,2019.0,FUORI_ATTRIBUTO,Si osserva una fascia bianca con una zona rosa diffusa.,Fascia bianca con zona diffusa rosa,Fascia bianca con zona diffusa rosa,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN311_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,TN311_2019-09-18,4.0,TN311,C0G,TG_19,2019-09-18,2019.0,ILLEGGIBILE,,Peccato,Peccato,1.0,False,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN311_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,TN316_2019-09-25,5.0,TN316,C0L,Q_09,2019-09-25,2019.0,FUORI_ATTRIBUTO,Ci sono molte macchie rosa che formano una fascia.,Molte macchie rosa che ddanno una Fascia,Molte macchie rosa che ddanno una Fascia,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,,,,,,2019-10-02,2019.0,,,,,,False,False,False,False,False,,,,,5.0,I,2017-12-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,TN330_2019-10-09,6.0,TN330,C0Q,Q_09,2019-10-09,2019.0,FUORI_ATTRIBUTO,C'è una fascia più chiara sotto un piatto.,Fascia più chiara sotto 1 piatto,Fascia più chiara sotto 1 piatto,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
Colore_della_Pasta,TN306_2019-10-09,7.0,TN306,C0D,TG_28,2019-10-09,2019.0,OK,Il campione presenta un alone centrale molto carico.,Alone  centrale  molto carico,Alone  centrale  molto carico ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Colore della pasta.csv,
