attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Unnamed: 7,Profumo
Profumo,,,,,,2019-09-04,2019,,,,,,False,False,False,False,False,,,,,1.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,,,,,,2019-09-11,2019,,,,,,False,False,False,False,False,,,,,2.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN307_2019-09-18,1.0,TN307,C0E,Q_09,2019-09-18,2019,OK,Sapore di balsamico e liquirizia.,Balsamico liquirizia,Balsamico liquirizia,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN307_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN307_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN307_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN307_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN307_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN307_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN323_2019-09-18,2.0,TN323,C0N,Q_09,2019-09-18,2019,OK,Profumo di erbe balsamiche.,Erbe Balsamiche,Erbe Balsamiche,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN323_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN311_2019-09-18,3.0,TN311,C0G,TG_19,2019-09-18,2019,OK,Note di caffè e cacao amaro.,"Caffè,cacao amaro","Caffè,cacao amaro",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN311_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN330_2019-09-25,4.0,TN330,C0Q,Q_02,2019-09-25,2019,ILLEGGIBILE,,Solo una porzione su 4 è fortemente negativa,Solo una porzione su 4 è fortemente negativa,1.0,False,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN316_2019-09-25,5.0,TN316,C0L,Q_09,2019-09-25,2019,ILLEGGIBILE,,vegetaleetale balsamico,Vegetale balsamico ,1.0,False,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN316_2019-09-25,6.0,TN316,C0L,TG_04,2019-09-25,2019,OK,L'intensità è bassissima.,Intensità bassissima,Intensità bassissima,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN338_2019-09-25,7.0,TN338,C0R,TG_12,2019-09-25,2019,OK,Presenta note acre.,Acre,Acre ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN316_2019-09-25,8.0,TN316,C0L,TG_19,2019-09-25,2019,OK,Il campione risulta troppo delicato.,Troppo delicato,Troppo delicato,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
