attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Sapore
Sapore,,,,,,2019-09-04,2019,,,,,,False,False,False,False,False,,,,,1.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,,,,,,2019-09-11,2019,,,,,,False,False,False,False,False,,,,,2.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN304_2019-09-18,1.0,TN304,C0B,TG_08,2019-09-18,2019,OK,C'è un buon equilibrio e complessità delle note.,Molto equilibratorio e complessità  delle note,Molto equilibrio e complessità  delle note,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN304_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN304_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN304_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN304_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN304_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN304_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN310_2019-09-18,2.0,TN310,C0F,TG_08,2019-09-18,2019,OK,"Il sapore è salato e piccante, ma disarmonico.",Salato e piccantecante disarmonico,Salato e piccante disarmonico,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN310_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN310_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN310_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN310_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN310_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN310_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN323_2019-09-18,3.0,TN323,C0N,TG_08,2019-09-18,2019,OK,Il sapore presenta un ottimo equilibrio tra le diverse note gustative.,Ottimo equilibratorio tra le diverse note,Ottimo equilibrio tra le diverse note,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-18_Seduta_03/P1a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-18_Seduta_03\\P1b_TN323_Grana.bmp""]",3.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN338_2019-09-25,4.0,TN338,C0R,TG_12,2019-09-25,2019,OK,Presenta una leggera astringenza.,Leggermente  astringente,Leggermente  astringente ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN306_2019-09-25,5.0,TN306,C0D,TG_20,2019-09-25,2019,OK,Si avverte una lievissima nota amara.,Lievissima nota amara,Lievissima nota amara,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2b_TN306_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN330_2019-09-25,6.0,TN330,C0Q,TG_20,2019-09-25,2019,OK,"Il Grana Trentino DOP presenta un sapore abbastanza equilibrato, con una buona armonia tra le diverse note gustative.",Abbastanza equilibratorato,Abbastanza equilibrato ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN338_2019-09-25,7.0,TN338,C0R,TG_20,2019-09-25,2019,OK,Il sapore presenta una tendenza dolce prevalente rispetto alle altre componenti gustative.,Tendenza dolce prevalente,Tendenza dolce prevalente ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN306_2019-10-02,8.0,TN306,C0D,TG_28,2019-10-02,2019,OK,Il sapore è molto blando.,Il sapore è molto blando,Il sapore è molto blando,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Grana.bmp""]",5.0,I,2017-12-01,Commenti liberi_QTG_2019_Sapore.csv,
