id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista
1,FUORI_ATTRIBUTO,Il formaggio presenta una consistenza disomogenea.,Disomogeneo,Disomogeneo,2019,C0L,TG_19
2,OK,La crosta si presenta di colore chiaro.,Pulita,Pulita,2019,C0D,TG_26
3,FUORI_ATTRIBUTO,Ci sono delle rosure sulla superficie.,Rosure,Rosure,2019,C0L,TG_26
4,ILLEGGIBILE,,Sotto,Sotto,2019,C0Q,Q_09
5,OK,La crosta si presenta di colore chiaro.,Pulita,Pulita,2019,C0I,TG_26
6,FUORI_ATTRIBUTO,Un piatto è il doppio dell'altro.,Un piatto è il doppio dell' altro,Un piatto è il doppio dell' altro,2019,C0M,TG_28
7,FUORI_ATTRIBUTO,C'è poco contrasto a causa del colore scuro della pasta.,Poco contrasto per colore scuro della pasta,Poco contrasto per colore scuro della pasta,2019,C0A,Q_09
8,FUORI_ATTRIBUTO,Il colore sottocrosta è rosa.,Colore rosa sottocrosta,Colore rosa sottocrostarosta,2019,C0D,Q_09
9,FUORI_ATTRIBUTO,Il colore sottocrosta è rosato.,Colore rosato sottocrosta,Colore rosato sottocrostarosta,2019,C0N,Q_09
10,FUORI_ATTRIBUTO,Il campione presenta microocchiatura e un colore arancio carico sotto un piatto.,Microocchiatura e colore arancio carico sotto un piatto,Microocchiatura e colore arancio carico sotto un piatto,2019,C0M,Q_09
11,FUORI_ATTRIBUTO,Il colore sfuma su una base molto carica.,Colore che sfuma su base di colore molto carico,Colore che sfuma su base di colore molto carico,2019,C0N,Q_09
12,OK,La crosta si presenta di colore chiaro.,Chiaro,Chiaro,2019,C0M,TG_19
13,FUORI_ATTRIBUTO,"Il formaggio è molto sottile, ma su un piatto appare più spesso al centro.",Molto sottile ma su un piatto risulta concessa verso il centro,Molto sottile ma su un piatto risulta concessa verso il centro,2019,C0M,TG_28
14,OK,La crosta si presenta di colore molto chiaro.,Molto chiaro,Molto chiaro,2019,C0M,TG_19
15,FUORI_ATTRIBUTO,La sottocrosta è fortemente disidratata.,Sottocrosta disidratato fortemente,sottocrostarosta disidratato fortemente,2019,C0M,TG_26
16,FUORI_ATTRIBUTO,La sottocrosta presenta un colore rosa.,Sottocrosta rosa,sottocrostarosta rosa,2019,C0Q,TG_26
17,FUORI_ATTRIBUTO,Il colore di fondo molto carico rende meno netta la percezione della crosta.,Colore di fondo molto carico rende meno netta la percezione della crosta,Colore di fondo molto carico rende meno netta la percezione della crosta,2019,C0L,Q_09
18,FUORI_ATTRIBUTO,"C'è una correzione che entra di 1,5 cm.","Con correzione che entra di 1,5 cm","Con correzione che entra di 1,5 cm",2019,C0M,Q_09
19,FUORI_ATTRIBUTO,I due scalzi presentano differenze.,Diverso tra i due scalzi,Diverso tra i due scalzi,2019,C0N,TG_19
20,FUORI_ATTRIBUTO,Il formaggio è carolato.,Carolata,screpolata,2019,C0M,TG_19
21,FUORI_ATTRIBUTO,La sottocrosta è secca e presenta occhi.,Sotto crosta secco e occhi,Sotto crosta secco e occhi,2019,C0M,TG_26
22,FUORI_ATTRIBUTO,Sotto scalzo c'è una zona disidratata e ammuffita.,Sotto scalzo zona disidratata e ammuffita,Sotto scalzo zona disidratata e ammuffita,2019,C0M,Q_09
23,FUORI_ATTRIBUTO,Costa e sottocrosta sono fusi e sfumati.,Costa e sottocrosta fusi e sfumati,Costa e sottocrostarosta fusi e sfumati,2019,C0M,TG_04
24,FUORI_ATTRIBUTO,Non considero la muffa.,Non considero la muffa,Non considero la muffa,2019,C0M,TG_19
25,FUORI_ATTRIBUTO,Il colore è rossastro da un lato e grigio dall'altro.,Colore rossastra da un lato e grigio dall'altro,Colore rossastra da un lato e grigio dall'altro,2019,C0A,Q_09
26,FUORI_ATTRIBUTO,Il colore sottocrosta è diverso tra i piatti.,Colore sottocrosta di colore diverso tra piatti,Colore sottocrostarosta di colore diverso tra piatti,2019,C0I,Q_09
27,OK,"La crosta del campione presenta uno spessore netto, con una sottocrosta non presente, conforme alle attese per la stagionatura del Grana Trentino DOP.",Crosta netta. Non presente sottocrosta,Crosta netta. Non presente sottocrostarosta,2019,C0P,TG_04
28,OK,"La crosta del campione è molto fine nei piatti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Molto fine nei piatti!,Molto fine nei piatti!,2019,C0C,TG_24
29,OK,"Gli angoli della crosta sono molto belli e ben definiti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Angoli molto belli,Angoli molto belli,2020,C0G,TG_04
30,CONFORME,"La crosta del campione presenta uno spessore regolare, conforme alle attese per la stagionatura del Grana Trentino DOP.",Regolare,Regolare,2020,C0G,TG_19
31,OK,"Il piatto presenta un aspetto molto bello, conforme alle attese per la stagionatura del Grana Trentino DOP.",1 piatto molto bello,1 piatto molto bello,2020,C0C,TG_04
32,ILLEGGIBILE,,"Non sono riuscito a inserire il dato comp!Messico , dare7,5","Non sono riuscito a inserire il dato comp!Messico , dare7,5",2020,C0D,TG_08
33,CONFORME,"La crosta del campione si presenta con uno spessore regolare, in linea con le specifiche del Grana Trentino DOP.",Regolare,Regolare,2020,C0D,TG_19
34,OK,"Gli angoli della crosta sono buoni e ben definiti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Buoni angoli,Buoni angoli,2020,C0F,TG_04
35,OK,"Gli angoli della crosta sono buoni e ben definiti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Buoni angoli,Buoni angoli,2020,C0L,TG_04
36,OK,"Il colore della crosta è tenue e pulito, conforme alle attese per la stagionatura del Grana Trentino DOP.",Colore tenue della crosta,Colore tenue della crosta,2020,C0A,TG_04
37,OK,"Un piatto è molto bello, mentre l'altro è più spesso; gli angoli sono ottimi e conformi alle attese per la stagionatura del Grana Trentino DOP.",1 piatto molto bello. L'altro più spesso. Ottimo angoli,1 piatto molto bello. L'altro più spesso. Ottimo angoli,2020,C0E,TG_04
38,FUORI_ATTRIBUTO,La sottocrosta è leggera e carica.,Leggero sottocrosta carico,Leggero sottocrostarosta carico,2020,C0A,TG_24
39,FUORI_ATTRIBUTO,"Un lato presenta un colore rossastro, mentre l'altro tende al grigio.",Su un lato colore rossastra sull'altro più tendente al grigio,Su un lato colore rossastra sull'altro più tendente al grigio,2020,C0M,Q_09
40,OK,"Gli angoli della crosta sono belli e ben definiti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Belli gli angoli,Belli gli angoli,2020,C0G,TG_04
41,FUORI_ATTRIBUTO,Il formaggio è fine sui piatti.,Fine sui piatti,Fine sui piatti,2020,C0G,TG_24
42,OK,"La crosta del campione ha un colore chiaro, che denota una buona qualità e conformità alle attese.",Chiaro,Chiaro,2020,C0C,TG_19
43,FUORI_ATTRIBUTO,"Si osservano microocchiature, disidratazione e un colore quasi verde sotto un piatto.","Microocchiatura, occhio, disidratazione, colore quasi verde sotto un piatto","Microocchiatura, occhio, disidratazione, colore quasi verde sotto un piatto",2020,C0M,TG_19
44,FUORI_ATTRIBUTO,Il colore è carico solo su un piatto.,Colore carico solo su un piatto,Colore carico solo su un piatto,2020,C0G,TG_28
45,OK,Gli angoli della crosta sono molto belli e ben definiti.,Angoli molto belli,Angoli molto belli,2020,C0G,TG_04
46,OK,Due angoli presentano un aspetto brutto e poco definito.,2 brutti angoli,2 brutti angoli,2020,C0Q,TG_04
47,OK,La crosta presenta un eccesso di materiale negli angoli.,Troppo negli angoli,Troppo negli angoli,2020,C0Q,TG_24
48,OK,Si osservano colori diversi fra le varie aree della crosta.,Colori diversi fra i piatti,Colori diversi fra i piatti,2020,C0Q,TG_19
49,OK,Gli angoli della crosta sono belli e ben definiti.,Belli gli angoli,Belli gli angoli,2020,C0D,TG_04
50,OK,"Gli angoli della crosta sono ben definiti, contribuendo a un aspetto complessivamente positivo del campione.",Buoni gli angoli,Buoni gli angoli,2020,C0Q,TG_04
51,OK,"La crosta si presenta di un colore chiaro, segno di freschezza e qualità del Grana Trentino DOP.",Chiara,Chiara,2020,C0Q,TG_19
52,OK,"Il campione mostra una crosta di colore chiaro, conforme alle aspettative per il Grana Trentino DOP.",Chiaro,Chiaro,2020,C0I,TG_19
53,OK,"La crosta è fine, evidenziando una buona stagionatura e qualità del formaggio.",Comunque fine!,Comunque fine!,2020,C0C,TG_24
54,OK,Gli angoli della crosta presentano un aspetto brutto e poco definito.,Brutti angoli,Brutti angoli,2020,C0A,TG_04
55,OK,Gli angoli e i bordi scalzi della crosta sono buoni.,Buoni angoli e scalzi,Buoni angoli e scalzi,2020,C0M,TG_04
56,OK,I piatti della crosta presentano un aspetto bello e ben definito.,Bei piatti,Bei piatti,2020,C0C,TG_04
57,FUORI_ATTRIBUTO,Si trovano negli scalzi.,Negli scalzi,Negli scalzi,2020,C0P,TG_04
58,OK,"La crosta del campione è fine, conforme alle attese per la stagionatura del Grana Trentino DOP.",Fine!,Fine!,2020,C0M,TG_24
59,OK,"I piatti sono belli, ma ci sono meno ali scalzi.","Belli piatti, meno ali scalzi","Belli piatti, meno ali scalzi",2020,C0G,TG_04
60,FUORI_ATTRIBUTO,Un scalzo è più brutto e presenta problemi di sottocrosta.,1 scalzo più  brutto. Problemi di sottocrosta,1 scalzo più  brutto. Problemi di sottocrostarosta,2020,C0Q,TG_04
61,FUORI_ATTRIBUTO,L'unghia è molto ampia.,Unghia molto ampia,Unghia molto ampia,2020,C0E,TG_13
62,FUORI_ATTRIBUTO,Un sottopiatto tende al verde.,Un sottopiatto tende al verde,Un sottopiatto tende al verde,2020,C0I,TG_19
63,FUORI_ATTRIBUTO,La dimensione supera 1 cm.,>1cm,>1cm,2020,C0A,TG_19
64,FUORI_ATTRIBUTO,Un sottocrosta tende al verde.,Un sottocrosta tendente al verde,Un sottocrostarosta tendente al verde,2020,C0M,TG_19
65,OK,Gli angoli del campione sono ben definiti e presentano una buona estetica.,Belli angoli,Belli angoli,2020,C0F,TG_04
66,FUORI_ATTRIBUTO,L'unghia è importante.,Unghia importante,Unghia importante,2020,C0Q,TG_13
67,FUORI_ATTRIBUTO,"L'unghia è evidente, soprattutto confrontando il colore con la pasta molto pallida.",Unghia soprattutto confrontando il colore con la pasta molto pallida,Unghia soprattutto confrontando il colore con la pasta molto pallida,2020,C0E,TG_13
68,FUORI_ATTRIBUTO,"Il colore della sottocrosta è diverso dal resto, di un rosellino.","Colore sottocrosta diverso da tutto il resto, rosellino","Colore sottocrostarosta diverso da tutto il resto, rosellino",2020,C0E,TG_28
69,FUORI_ATTRIBUTO,Un piatto è nettamente più spesso.,1 piatto nettamente  più  spesso,1 piatto nettamente  più  spesso,2020,C0G,TG_04
70,OK,"La sottocrosta presenta microocchiature, conforme alle attese per la stagionatura.",Sottocrosta con microcchiatura,sottocrostarosta con microcchiatura,2020,C0N,TG_28
71,ILLEGGIBILE,,Difficile da misurare...Comunque c e crosts,differenzaicile da misurare...Comunque c e crosts,2020,C0E,Q_02
72,FUORI_ATTRIBUTO,Un scalzo e un piatto sono brutti.,1 scalzo e 1 piatto brutti,1 scalzo e 1 piatto brutti,2020,C0D,TG_04
73,FUORI_ATTRIBUTO,Un scalzo è brutto.,1 scalzo brutto,1 scalzo brutto,2020,C0N,TG_04
74,OK,"La sottocrosta del campione è ampia, conforme alle attese per la stagionatura.",Sottoscritta ampio,sottocrosta ampio,2020,C0D,TG_24
75,FUORI_ATTRIBUTO,Il sottocrosta è molto sottile.,Te poi sottocrosta,Te poi sottocrostarosta,2020,C0E,TG_24
76,OK,"I piatti del campione risultano più spessi, in linea con le aspettative.",Più  spessi i piatti,Più  spessi i piatti,2020,C0R,TG_04
77,FUORI_ATTRIBUTO,L'unghia è enorme.,Enorme unghia,Enorme unghia,2020,C0L,TG_13
78,OK,"Il campione presenta una struttura disomogenea, non conforme alle attese.",Disomogeneo,Disomogeneo,2020,C0L,TG_19
79,OK,"Il campione non presenta omogeneità, risultando poco conforme.",Non omogeneo,Non omogeneo,2020,C0M,TG_19
80,OK,"La sottocrosta presenta un colore grigiastro, non conforme alle attese.",Colore Sottocrosta grigiastro,Colore sottocrostarosta grigiastro,2020,C0M,Q_09
81,FUORI_ATTRIBUTO,Si nota una modellatura nella sottocrosta.,Modellatura nel sotto crosta,Modellatura nel sotto crosta,2020,C0M,TG_28
82,FUORI_ATTRIBUTO,Il colore sotto la crosta è rossastro.,Colore sotto crosta rossastro,Colore sotto crosta rossastro,2020,C0P,Q_09
83,FUORI_ATTRIBUTO,La crosta e il sottocrosta non sono distinguibili.,Crosta e sottoc non distinguibili,Crosta e sottocrosta non distinguibili,2020,C0A,TG_04
84,OK,Gli angoli della crosta sono ben definiti e presentano un aspetto bello.,Belli gli angoli,Belli gli angoli,2020,C0C,TG_04
85,FUORI_ATTRIBUTO,C'è troppa crosta.,Troppa crosta,Troppa crosta,2020,C0P,TG_24
86,OK,"La crosta appare disomogenea, con differenze evidenti anche sullo stesso piatto, suggerendo un'appoggio su un piano ondulato.","Disomogenea anche sullo stesso piatto, sembra sia stata appoggiata su un piano ondulato","Disomogenea anche sullo stesso piatto, sembra sia stata appoggiata su un piano ondulato",2020,C0P,TG_28
87,FUORI_ATTRIBUTO,Il colore del sottocrosta è diverso: rossastro sotto il scalzo e grigio sotto i piatti.,Colore sottoscritta diverso rossastro sotto scalzo e grigio sotto i piatti,Colore sottocrosta diverso rossastro sotto scalzo e grigio sotto i piatti,2020,C0R,Q_09
88,OK,"Lo spessore della crosta non è eccessivo sotto i piatti, ma il colore è molto carico, tendente al marrone rossiccio.",Spessore non eccessivo sotto i piatti ma Colore molto carico tendente al marrone rossiccio,Spessore non eccessivo sotto i piatti ma Colore molto carico tendente al marrone rossiccio,2020,C0F,Q_09
89,OK,Il colore della sottocrosta è meno carico su un piatto.,Colore sotto crosta meno carico su un piatto,Colore sotto crosta meno carico su un piatto,2020,C0C,TG_35
90,OK,"Il colore di fondo è carico, rendendo meno evidente la sottocrosta.",Colore di fondo carico si nota meno il sottocrosta,Colore di fondo carico si nota meno il sottocrostarosta,2020,C0C,Q_09
91,FUORI_ATTRIBUTO,L'alone disidratato sotto la crosta è confondente.,Alone disidratato Sotto crosta confonde,Alone disidratato Sotto crosta confonde,2020,C0M,Q_09
92,OK,"La crosta presenta una struttura omogenea, segno di una buona lavorazione e stagionatura.",Omogeneo,Omogeneo,2020,C0G,TG_19
93,OK,Lo spessore della crosta è alto.,Alto spessore,Alto spessore,2020,C0C,TG_24
94,OK,La crosta è fine.,Però  crosta fine,Però  crosta fine,2020,C0G,TG_24
95,FUORI_ATTRIBUTO,Ci sono differenze tra i due scalzi.,Diverso tra i due scalzi,Diverso tra i due scalzi,2020,C0E,TG_35
96,OK,La crosta è spessa.,Spesso,Spesso,2020,C0A,TG_19
97,OK,La crosta è spessa.,Spesso,Spesso,2020,C0E,TG_19
98,FUORI_ATTRIBUTO,I colori sono diversi.,Colori diversi,Colori diversi,2021,C0Q,TG_19
99,FUORI_ATTRIBUTO,Il colore del sottocrosta è grigiastro.,Colore sottocrosta grigiastro,Colore sottocrostarosta grigiastro,2021,C0I,Q_09
100,FUORI_ATTRIBUTO,"Sotto la crosta, da un lato è grigiastro e dall'altro di colore diverso.",Sotto crosta da un lato grigiastro di colore divero,Sotto crosta da un lato grigiastro di colore divero,2021,C0M,Q_09
101,FUORI_ATTRIBUTO,Il sottocrosta misura 2 cm su entrambi gli scalzi.,Sottocrosta di 2cm su entrambi gli scalzi,sottocrostarosta di 2cm su entrambi gli scalzi,2021,C0E,TG_35
102,FUORI_ATTRIBUTO,Il colore del sottocrosta è grigio da un lato e rossastro dall'altro.,Colore sotto crosta grigio da un lato rossastra dall'altro,Colore sotto crosta grigio da un lato rossastra dall'altro,2021,C0D,Q_09
103,OK,"Il campione presenta uno spessore della crosta molto fine, conforme alle attese per la stagionatura del Grana Trentino DOP.",1 piatto molto fine,1 piatto molto fine,2021,C0G,TG_04
104,FUORI_ATTRIBUTO,Il colore del sottocrosta è grigiastro.,Colore sottocrosta grigiastro,Colore sottocrostarosta grigiastro,2021,C0H,Q_09
105,FUORI_ATTRIBUTO,Il colore di fondo è carico.,Colore di fondo carico,Colore di fondo carico,2021,C0A,Q_09
106,FUORI_ATTRIBUTO,Il colore di fondo carico contrasta meno con il colore dello spessore.,Colore di fondo carico contrasta meno il colore dello spessore,Colore di fondo carico contrasta meno il colore dello spessore,2021,C0C,Q_09
107,FUORI_ATTRIBUTO,Il colore del sottocrosta è grigio da un lato e rossastro dall'altro.,Colore Sottocrosta da un lato grigio dall' altro rossastro,Colore sottocrostarosta da un lato grigio dall' altro rossastro,2021,C0I,Q_09
108,OK,"Il campione presenta angoli ben definiti e spigoli più pronunciati sui piatti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Più pronunciato sui piatti,Più pronunciato sui piatti,2021,C0M,Q_09
109,FUORI_ATTRIBUTO,C'è una tara che entra nel sottocrosta sullo scalzo.,Una tara che entra nel sottocrosta sullo scalzo,Una tara che entra nel sottocrostarosta sullo scalzo,2021,C0Q,TG_19
110,FUORI_ATTRIBUTO,Il colore del sottocrosta è grigiastro.,Colore sottocrosta grigiastro,Colore sottocrostarosta grigiastro,2021,C0M,Q_09
111,FUORI_ATTRIBUTO,Il colore del sottocrosta è molto sfumato.,Colore sottocrosta molto sfumato,Colore sottocrostarosta molto sfumato,2021,C0E,Q_09
112,FUORI_ATTRIBUTO,Il colore del sottocrosta è grigiastro su uno sfondo molto carico.,Colore sottocrosta grigiastro su sfondo molto carico,Colore sottocrostarosta grigiastro su sfondo molto carico,2021,C0A,Q_09
113,FUORI_ATTRIBUTO,Il colore è molto sfumato.,Colore moltosfumato,Colore moltosfumato,2021,C0E,Q_09
114,FUORI_ATTRIBUTO,"Lo scalzo è bruttissimo, mentre il resto è buono.",Uno scalzo bruttissimo. Il resto buona,Uno scalzo bruttissimo. Il resto buona,2021,C0G,TG_04
115,OK,"Uno degli scalzi presenta uno spessore più pronunciato, mentre il resto del campione è conforme alle attese per la stagionatura del Grana Trentino DOP.",Uno scalzo più pronunciato,Uno scalzo più pronunciato,2021,C0G,TG_35
