attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Struttura della Pasta
Struttura_della_Pasta,,,,,,2019-09-04,2019,,,,,,False,False,False,False,False,,,,,1.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,,,,,,2019-09-11,2019,,,,,,False,False,False,False,False,,,,,2.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,,,,,,2019-09-18,2019,,,,,,False,False,False,False,False,,,,,3.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,TN316_2019-09-25,1.0,TN316,C0L,Q_02,2019-09-25,2019,FUORI_ATTRIBUTO,La superficie è ruvida.,Ruvida,Ruvida,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,TN330_2019-09-25,2.0,TN330,C0Q,Q_02,2019-09-25,2019,OK,"La pasta del campione presenta una leggera stiratura al centro, evidenziando una certa omogeneità nella struttura.",Leggermente stiratairata al centro,Leggermente stirata al centro,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,TN302_2019-09-25,3.0,TN302,C0A,Q_09,2019-09-25,2019,OK,"La pasta sotto un piatto presenta leggeri segni di stiratura, mantenendo una buona compattezza.",La pastirataa sotto un piatto presenta leggera stiratariature,La pasta sotto un piatto presenta leggera striature ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P1a_TN302_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P1a_TN302_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1a_TN302_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1b_TN302_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1a_TN302_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1b_TN302_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,TN306_2019-09-25,4.0,TN306,C0D,Q_09,2019-09-25,2019,FUORI_ATTRIBUTO,C'è uno strappo profondo di 10 cm.,Uno stiratarappo profondo di 10 cm,Uno strappo profondo di 10 cm ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2b_TN306_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,TN316_2019-09-25,5.0,TN316,C0L,Q_09,2019-09-25,2019,OK,"La pasta presenta molte fratture, sia piccole sotto il piatto che grandi centrali, compromettendo la compattezza.",Molte fratture sia piccole sotto piatto che grandi centrali,Molte fratture sia piccole sotto piatto che grandi centrali,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P4a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P4b_TN316_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,TN330_2019-09-25,6.0,TN330,C0Q,Q_09,2019-09-25,2019,OK,"Si osserva un grande strappo centrale di 2 cm di diametro, lucidando l'occhio.",Grande stiratarappo centrale lucidando occhio 3 2cm diam,Grande strappo centrale lucidando occhio 3 2cm diam,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
Struttura_della_Pasta,TN338_2019-09-25,7.0,TN338,C0R,Q_09,2019-09-25,2019,OK,"La pasta risulta stirata nella zona centrale, mostrando una certa disomogeneità.",stiratairata nella zona centrale,Stirata nella zona centrale,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P6a_TN338_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6a_TN338_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P6b_TN338_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Struttura della pasta.csv,
