id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista
1,FUORI_ATTRIBUTO,Non ci sono cristalli.,Si intende no cristalli,Si intende no cristalli,2019,C0A,TG_24
2,OK,"Il campione presenta pochi cristalli, evidenziando una microstruttura meno sviluppata.",Pochi cristalli,Pochi cristalli,2019,C0N,TG_24
3,OK,"Il campione presenta pochi cristalli, il che è un peccato per la sua qualità.",Pochi cristalli..peccato,Pochi cristalli..peccato,2019,C0O,TG_24
4,FUORI_ATTRIBUTO,"Non è granuloso, ma presenta un residuo sabbioso faticoso.","Non granuloso, aggiungere residuo a faticoso sabbioso ,,...","Non granuloso, aggiungere residuo a faticoso sabbioso ,,...",2019,C0N,Q_09
5,FUORI_ATTRIBUTO,Assenza di cristalli.,No cristalli!,No cristalli!,2019,C0D,TG_24
6,CONFORME,"Il campione presenta una texture conforme, con caratteristiche di compattezza e assenza di difetti.",Pochi,Pochi,2019,C0E,TG_24
7,FUORI_ATTRIBUTO,Non presenta grana.,Senza grana,Senza grana,2019,C0C,TG_14
8,OK,Il campione presenta cristalli quasi assenti e una pasta compatta.,"Cristalli quasi assenti, compatto","Cristalli quasi assenti, compatto",2019,C0C,TG_19
9,OK,"Il campione è poco granuloso, con una texture relativamente uniforme.",Poco granuloso,Poco granuloso,2019,C0L,TG_19
10,OK,Il campione presenta pochi cristalli.,Pochi cristalli,Pochi cristalli,2019,C0C,TG_24
11,ILLEGGIBILE,,Difficile da giudicare perché immagiabile,Difficile da giudicare perché immasticabile,2019,C0F,Q_02
12,OK,Il campione è malleabile e deformabile.,Malleabile deformabile,Mmalleabile deformabile,2019,C0P,TG_11
13,OK,Il campione è indeformabile e presenta una consistenza plastica.,Indeformabile plastico,Indeformabile plastico,2019,C0G,Q_09
14,OK,Il campione non è friabile e non presenta granulosità.,Non friabile non granuloso,Non friabile non granuloso,2019,C0I,Q_09
15,OK,Il campione evidenzia una mancanza di cristalli.,Mancanza di cristalli,Mancanza di cristalli,2019,C0I,TG_11
16,FUORI_ATTRIBUTO,Non è granuloso.,Non granuloso,Non granuloso,2019,C0H,TG_19
17,OK,Il campione è deformabile.,Deformabile,Deformabile,2019,C0O,Q_09
18,OK,Il campione è deformabile.,Deformabile,Deformabile,2019,C0E,Q_09
19,OK,Il campione è poco friabile.,Poco friabile,Poco friabile,2019,C0M,Q_09
20,OK,Il campione non è friabile e presenta una pasta compatta.,"Non friabile, compatto","Non friabile, compatto",2019,C0O,TG_14
