attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Texture
Texture,,,,,,2019-09-04,2019,,,,,,False,False,False,False,False,,,,,1.0,I,2017-12-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,,,,,,2019-09-11,2019,,,,,,False,False,False,False,False,,,,,2.0,I,2017-12-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,,,,,,2019-09-18,2019,,,,,,False,False,False,False,False,,,,,3.0,I,2017-12-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN302_2019-09-25,1.0,TN302,C0A,TG_24,2019-09-25,2019,FUORI_ATTRIBUTO,Non ci sono cristalli.,Si intende no cristalli,Si intende no cristalli,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P1a_TN302_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P1a_TN302_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1a_TN302_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1b_TN302_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1a_TN302_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P1b_TN302_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN323_2019-10-02,2.0,TN323,C0N,TG_24,2019-10-02,2019,OK,"Il campione presenta pochi cristalli, evidenziando una microstruttura meno sviluppata.",Pochi cristalli,Pochi cristalli ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P5a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P5a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Grana.bmp""]",5.0,I,2017-12-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN326_2019-10-02,3.0,TN326,C0O,TG_24,2019-10-02,2019,OK,"Il campione presenta pochi cristalli, il che è un peccato per la sua qualità.",Pochi cristalli..peccato,Pochi cristalli..peccato,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P6a_TN326_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P6a_TN326_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Grana.bmp""]",5.0,I,2017-12-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN323_2019-10-09,4.0,TN323,C0N,Q_09,2019-10-09,2019,FUORI_ATTRIBUTO,"Non è granuloso, ma presenta un residuo sabbioso faticoso.","Non granuloso, aggiungere residuo a faticoso sabbioso ,,...","Non granuloso, aggiungere residuo a faticoso sabbioso ,,... ",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN306_2019-10-09,5.0,TN306,C0D,TG_24,2019-10-09,2019,FUORI_ATTRIBUTO,Assenza di cristalli.,No cristalli!,No cristalli!,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN307_2019-10-16,6.0,TN307,C0E,TG_24,2019-10-16,2019,CONFORME,"Il campione presenta una texture conforme, con caratteristiche di compattezza e assenza di difetti.",Pochi,Pochi,0.5,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-16_Seduta_07/P3a_TN307_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-16_Seduta_07/P3a_TN307_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P3a_TN307_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P3b_TN307_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P3a_TN307_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-16_Seduta_07\\P3b_TN307_Grana.bmp""]",7.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN305_2019-10-23,7.0,TN305,C0C,TG_14,2019-10-23,2019,FUORI_ATTRIBUTO,Non presenta grana.,Senza grana,Senza grana,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
