sample_id,anno,codice_caseificio,data_seduta,path_fetta_primaria,path_grana_primaria,caption,n_attributi_usati,n_panelisti,tokens_usati,timestamp_generazione
TN311_2020-09-30,2020,TN311,2020-09-30,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-30_Seduta_05/P4a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-30_Seduta_05/P4a_TN311_Grana.bmp,"Il profumo è caratterizzato da una nota di grasso di prosciutto crudo, accompagnata da una leggera sfumatura bruciata e una complessità limitata, con un richiamo al cremoso caramello. Il sapore risulta anonimo e poco espresso, con una sensazione di freschezza che ricorda un formaggio poco stagionato, senza note sgradevoli. L'aroma presenta una componente non gradevole, bilanciata da sentori di burro fresco e una marcata lattonosità. La struttura della pasta appare variabile, con zone grasse alternate a zone secche e una finezza non sempre uniforme.",6,6,1158,2026-03-09T17:46:21.068095
TN323_2020-09-23,2020,TN323,2020-09-23,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-23_Seduta_04/P4a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/I bimestre/2020-09-23_Seduta_04/P4a_TN323_Grana.bmp,"Il profumo è intenso, con note di latte e una piacevole sensazione di freschezza. Il sapore si presenta equilibrato, non dolce e con una leggera acidità che arricchisce l'esperienza gustativa. La texture, purtroppo, risulta tenera.",3,3,931,2026-03-09T17:46:26.930744
TN305_2018-10-03,2018,TN305,2018-10-03,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-03/P2a_305_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-03/P2a_305_grana.bmp,"Il profumo è caratterizzato da note fruttate e una leggera presenza di verdura lessa, con accenni di burro fuso e ananas, anche se risulta poco intenso e con qualche nota di rancido. Il sapore si presenta dolce-sapido, con un equilibrio di umami, ma con una piccantezza eccessiva che compromette l'armonia complessiva. L'aroma è dominato da sentori lattici, accompagnati da note fruttate e di brodo animale, ma con una presenza di rancido. La texture è morbida e pastosa, con una certa umidità e pochi granuli di tirosina, mentre la struttura della pasta è disomogenea, con aree stirate e una microocchiatura fine. Il colore della pasta è molto carico al centro, con aloni rosa e scuri che evidenziano una mancanza di omogeneità. Lo spessore della crosta è mediamente di 9-10 mm, con spigoli ben definiti.",7,11,1758,2026-03-09T17:46:32.645615
TN313_2021-01-27,2020,TN313,2021-01-27,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-01-27_Seduta_19/P3_TN313_258_FETTA_A.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-01-27_Seduta_19/P3_TN313_258_GRANA_A.bmp,"Il profumo è caratterizzato da una nota lattica dominante, con sentori di burro fresco e una leggera sfumatura di bruciato. Il sapore presenta una leggera punta di dolcezza, che arricchisce l'esperienza gustativa. La texture si rivela abbastanza solubile, anche se si percepisce una certa carenza di cristalli. Il colore della pasta è chiaro, ma non presenta tonalità paglierine.",4,3,993,2026-03-09T17:46:35.720007
TN302_2019-03-13,2018,TN302,2019-03-13,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-03-13/P1a_302_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-03-13/P1a_302_grana.bmp,"Il profumo è caratterizzato da un'intensità moderata, con note di pane, frutta secca, latte e una leggera presenza di panna, accompagnate da sentori di burro fuso e vegetale secco, ma anche da una lieve puzza di tele bagnate — difetto. Il sapore si presenta con una leggera piccantezza e un gusto pieno, ma salato, con una dolcezza marcata e una sapidità contenuta, risultando complessivamente equilibrato, sebbene alcuni panelisti segnalino un leggero sbilanciamento tra salato e amaro. L'aroma è dominato da note di latte cotto e panna, con una discreta intensità, ma presenta anche una lieve nota ossidata. La texture è morbida e granulosa, con cristalli presenti, mentre la struttura della pasta mostra una frattura regolare con grana fine e microocchiature diffuse. Il colore della pasta è giallo tenue, con un alone centrale che tende al rosato. Lo spessore della crosta è mediamente di 1,2 cm, con variazioni di spessore tra i lati.",7,11,1979,2026-03-09T17:46:41.221858
TN316_2019-10-23,2019,TN316,2019-10-23,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P5a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P5a_TN316_Grana.bmp,"Il profumo è caratterizzato da note di solvente acetone. Il sapore presenta un buon equilibrio, ma risulta mancante di dolcezza e mostra una leggera amarezza. La texture è poco granulosa.",3,3,895,2026-03-09T17:46:43.948851
TN313_2018-12-05,2018,TN313,2018-12-05,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-12-05/P4a_313_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-12-05/P4a_313_grana.bmp,"Il profumo è poco complesso, tendente allo stallatico e presenta note di frutta fermentata, con un carattere stantio e bruciato. Il sapore risulta acido, con una leggera piccantezza e un amaro che non è equilibrato, mentre manca di salato. L'aroma è meglio percepito rispetto al profumo, con sentori di panna e burro, ma presenta anche note putride. La texture è dura con difficoltà di solubilità e presenta scarissimi granuli di tirosina, risultando asciutta e compatta. La struttura della pasta è grossolana, con fratture irregolari e profonde, e una grana poco profilata. Il colore della pasta è giallo chiaro, con un alone centrale accentuato e tonalità poco sature. Lo spessore della crosta è mediamente di 9 mm, con spigoli pronunciati.",7,11,1852,2026-03-09T17:46:47.428554
TN338_2018-10-24,2018,TN338,2018-10-24,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-24/P6a_338_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-24/P6a_338_grana.bmp,"Il profumo è caratterizzato da note di nocciola, burro e latte cotto, con una presenza di sentori di stalla e insilato, anche se l'intensità è decisamente scarsa. Il sapore si presenta equilibrato, con note dolci e un umami intenso, ma con una leggera astringenza e una percezione di amaro e acidità. L'aroma è complesso, con toni tostati e una leggera nota di liquirizia e legno, sebbene il tostato risulti eccessivo. La texture è abbastanza dura e umida, con una grana fine, ma risulta anche asciutta e poco solubile, lasciando un residuo. La struttura della pasta è disomogenea, con una zona centrale stirata e una grana media esterna, mentre il colore della pasta mostra un alone centrale scuro su uno sfondo giallo medio tendente al chiaro. Lo spessore della crosta è variabile e disomogeneo, con una media di 12 mm.",7,12,1762,2026-03-09T17:46:51.948595
TN310_2020-03-04,2019,TN310,2020-03-04,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/V bimestre/2020-03-04_Seduta_25/P3a_TN310_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/V bimestre/2020-03-04_Seduta_25/P3a_TN310_Grana.bmp,"Il profumo è caratterizzato da note di cacao amaro vecchio e un accenno medicinale. Il sapore si presenta con un amaro netto. La texture è caratterizzata da una friabilità e granulosità elevate, mentre la struttura della pasta tende a essere ruvida in un'area centrale. Il colore della pasta è abbastanza omogeneo, con la presenza di una potenziale macchia al centro non considerata nel voto.",5,3,1021,2026-03-09T17:46:54.077359
TN330_2021-01-13,2020,TN330,2021-01-13,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-01-13_Seduta_17/P6_TN330_353_FETTA_A.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-01-13_Seduta_17/P6_TN330_353_GRANA_A.bmp,"Il profumo è caratterizzato da una nota non molto espressiva ma con una persistenza lunga. Il sapore si distingue per la sua non dolcezza, con un leggero piccante che emerge. L'aroma, pur non essendo molto intenso, si fa apprezzare per la sua persistenza. La texture risulta forse leggermente tenera, mentre la struttura della pasta presenta molte fratture sotto un piatto, piccole fratture orizzontali e spacchi in mezza forma, con un accenno di disidratazione che causa piccole fessure. Il colore della pasta è di un bel paglierino.",5,4,1078,2026-03-09T17:46:56.754715
